Crop,Disease,Pathogen,Symptoms,Recommended_Medicine,Application_Notes,Severity
Tomato,Early Blight,Alternaria solani,Dark spots on older leaves,Chlorothalonil,Spray every 7-10 days,
Tomato,Late Blight,Phytophthora infestans,Water-soaked lesions on leaves,Mancozeb,Apply at first sign,
Potato,Late Blight,Phytophthora infestans,Brown patches on leaves,Metalaxyl,Use preventive spray,
Rice,Blast,Magnaporthe oryzae,Diamond-shaped lesions,Tricyclazole,Spray during early infection,
Rice,Brown Spot,Bipolaris oryzae,Brown circular spots,Carbendazim,Apply as foliar spray,
Wheat,Rust,Puccinia spp.,Orange pustules on leaves,Propiconazole,Spray at first appearance,
Wheat,Powdery Mildew,Blumeria graminis,White powdery growth,Sulfur,Dust or spray application,
Maize,Leaf Blight,Exserohilum turcicum,Long gray-green lesions,Azoxystrobin,Apply early,
Maize,Rust,Puccinia sorghi,Reddish-brown pustules,Tebuconazole,Repeat after 10 days,
Cotton,Bacterial Blight,Xanthomonas campestris,Angular leaf spots,Copper Oxychloride,Spray regularly,
Cotton,Leaf Curl,Begomovirus,Upward leaf curling,Imidacloprid,Control whiteflies,
Chili,Anthracnose,Colletotrichum capsici,Sunken dark lesions,Carbendazim,Spray weekly,
Chili,Leaf Curl,Begomovirus,Curled distorted leaves,Thiamethoxam,Control vectors,
Banana,Panama Disease,Fusarium oxysporum,Yellowing and wilting,Carbendazim,Soil drenching,
Banana,Sigatoka,Mycosphaerella musicola,Yellow streaks on leaves,Mancozeb,Regular spray,
Grapes,Downy Mildew,Plasmopara viticola,Yellow oily spots,Metalaxyl + Mancozeb,Spray after rain,
Grapes,Powdery Mildew,Uncinula necator,White powder on leaves,Wettable Sulfur,Apply at early stage,
Apple,Scab,Venturia inaequalis,Olive-green spots,Captan,Preventive spray,
Apple,Fire Blight,Erwinia amylovora,Blackened shoots,Streptomycin,Spray during bloom,
Mango,Anthracnose,Colletotrichum gloeosporioides,Black spots on fruit,Carbendazim,Spray at flowering,
Mango,Powdery Mildew,Oidium mangiferae,White powder on panicles,Sulfur,Dust application,
Soybean,Rust,Phakopsora pachyrhizi,Brown pustules,Tebuconazole,Spray early,
Soybean,Frogeye Leaf Spot,Cercospora sojina,Circular gray spots,Azoxystrobin,Foliar spray,
Peanut,Leaf Spot,Cercospora arachidicola,Brown leaf spots,Chlorothalonil,Repeat spray,
Peanut,Rust,Puccinia arachidis,Reddish pustules,Mancozeb,Apply regularly,
Onion,Purple Blotch,Alternaria porri,Purple lesions,Mancozeb,Spray every 10 days,
Onion,Downy Mildew,Peronospora destructor,Pale green patches,Metalaxyl,Use preventively,
Cucumber,Powdery Mildew,Podosphaera xanthii,White powdery spots,Sulfur,Apply weekly,
Cucumber,Downy Mildew,Pseudoperonospora cubensis,Yellow angular spots,Mancozeb,Spray after dew,
Tomato,Early Blight,Alternaria solani,Dark concentric leaf spots,Chlorothalonil,Apply during high humidity,Moderate
Tomato,Early Blight,Alternaria solani,Dark concentric leaf spots,Chlorothalonil,Follow recommended dosage,Severe
Tomato,Early Blight,Alternaria solani,Dark concentric leaf spots,Chlorothalonil,Use preventive spray,Severe
Tomato,Early Blight,Alternaria solani,Dark concentric leaf spots,Chlorothalonil,Repeat every 7-10 days,Moderate
Tomato,Early Blight,Alternaria solani,Dark concentric leaf spots,Chlorothalonil,Apply during high humidity,Severe
Tomato,Early Blight,Alternaria solani,Dark concentric leaf spots,Chlorothalonil,Spray at early stage,Severe
Tomato,Early Blight,Alternaria solani,Dark concentric leaf spots,Chlorothalonil,Spray at early stage,Mild
Tomato,Early Blight,Alternaria solani,Dark concentric leaf spots,Chlorothalonil,Spray at early stage,Moderate
Tomato,Early Blight,Alternaria solani,Dark concentric leaf spots,Chlorothalonil,Repeat every 7-10 days,Severe
Tomato,Early Blight,Alternaria solani,Dark concentric leaf spots,Chlorothalonil,Follow recommended dosage,Moderate
Tomato,Early Blight,Alternaria solani,Dark concentric leaf spots,Chlorothalonil,Use preventive spray,Mild
Tomato,Early Blight,Alternaria solani,Dark concentric leaf spots,Chlorothalonil,Use preventive spray,Moderate
Tomato,Late Blight,Phytophthora infestans,Water-soaked lesions,Mancozeb,Apply during high humidity,Moderate
Tomato,Late Blight,Phytophthora infestans,Water-soaked lesions,Mancozeb,Follow recommended dosage,Mild
Tomato,Late Blight,Phytophthora infestans,Water-soaked lesions,Mancozeb,Repeat every 7-10 days,Severe
Tomato,Late Blight,Phytophthora infestans,Water-soaked lesions,Mancozeb,Repeat every 7-10 days,Moderate
Tomato,Late Blight,Phytophthora infestans,Water-soaked lesions,Mancozeb,Follow recommended dosage,Severe
Tomato,Late Blight,Phytophthora infestans,Water-soaked lesions,Mancozeb,Spray at early stage,Moderate
Tomato,Late Blight,Phytophthora infestans,Water-soaked lesions,Mancozeb,Spray at early stage,Severe
Tomato,Late Blight,Phytophthora infestans,Water-soaked lesions,Mancozeb,Use preventive spray,Mild
Tomato,Late Blight,Phytophthora infestans,Water-soaked lesions,Mancozeb,Follow recommended dosage,Moderate
Tomato,Late Blight,Phytophthora infestans,Water-soaked lesions,Mancozeb,Spray at early stage,Mild
Tomato,Late Blight,Phytophthora infestans,Water-soaked lesions,Mancozeb,Use preventive spray,Severe
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Imidacloprid,Repeat every 7-10 days,Moderate
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Imidacloprid,Follow recommended dosage,Moderate
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Imidacloprid,Use preventive spray,Severe
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Imidacloprid,Follow recommended dosage,Mild
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Imidacloprid,Spray at early stage,Mild
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Imidacloprid,Use preventive spray,Moderate
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Imidacloprid,Apply during high humidity,Moderate
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Imidacloprid,Repeat every 7-10 days,Mild
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Imidacloprid,Follow recommended dosage,Severe
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Imidacloprid,Spray at early stage,Severe
