Crop,Disease,Pathogen,Symptoms,Severity,Recommended_Medicine,Application_Notes
Tomato,Early Blight,Alternaria solani,Dark concentric spots on leaves,Mild,Chlorothalonil,Spray at early stage
Tomato,Early Blight,Alternaria solani,Dark concentric spots on leaves,Severe,Chlorothalonil,Apply during high humidity
Tomato,Early Blight,Alternaria solani,Dark concentric spots on leaves,Moderate,Chlorothalonil,Apply after first symptoms
Tomato,Early Blight,Alternaria solani,Dark concentric spots on leaves,Mild,Chlorothalonil,Spray at early stage
Tomato,Early Blight,Alternaria solani,Dark concentric spots on leaves,Mild,Chlorothalonil,Use preventive spray
Tomato,Early Blight,Alternaria solani,Dark concentric spots on leaves,Moderate,Chlorothalonil,Apply during high humidity
Tomato,Early Blight,Alternaria solani,Dark concentric spots on leaves,Mild,Chlorothalonil,Use preventive spray
Tomato,Early Blight,Alternaria solani,Dark concentric spots on leaves,Severe,Chlorothalonil,Spray at early stage
Tomato,Early Blight,Alternaria solani,Dark concentric spots on leaves,Mild,Chlorothalonil,Spray at early stage
Tomato,Early Blight,Alternaria solani,Dark concentric spots on leaves,Severe,Chlorothalonil,Apply after first symptoms
Tomato,Early Blight,Alternaria solani,Dark concentric spots on leaves,Mild,Chlorothalonil,Apply during high humidity
Tomato,Early Blight,Alternaria solani,Dark concentric spots on leaves,Mild,Chlorothalonil,Spray at early stage
Tomato,Early Blight,Alternaria solani,Dark concentric spots on leaves,Mild,Chlorothalonil,Apply during high humidity
Tomato,Early Blight,Alternaria solani,Dark concentric spots on leaves,Mild,Chlorothalonil,Spray at early stage
Tomato,Early Blight,Alternaria solani,Dark concentric spots on leaves,Mild,Chlorothalonil,Repeat every 7-10 days
Tomato,Early Blight,Alternaria solani,Dark concentric spots on leaves,Severe,Chlorothalonil,Spray at early stage
Tomato,Early Blight,Alternaria solani,Dark concentric spots on leaves,Mild,Chlorothalonil,Apply after first symptoms
Tomato,Early Blight,Alternaria solani,Dark concentric spots on leaves,Severe,Chlorothalonil,Spray at early stage
Tomato,Early Blight,Alternaria solani,Dark concentric spots on leaves,Mild,Chlorothalonil,Spray at early stage
Tomato,Early Blight,Alternaria solani,Dark concentric spots on leaves,Moderate,Chlorothalonil,Follow recommended dosage
Tomato,Early Blight,Alternaria solani,Dark concentric spots on leaves,Mild,Chlorothalonil,Repeat every 7-10 days
Tomato,Early Blight,Alternaria solani,Dark concentric spots on leaves,Mild,Chlorothalonil,Spray at early stage
Tomato,Early Blight,Alternaria solani,Dark concentric spots on leaves,Moderate,Chlorothalonil,Repeat every 7-10 days
Tomato,Early Blight,Alternaria solani,Dark concentric spots on leaves,Moderate,Chlorothalonil,Repeat every 7-10 days
Tomato,Early Blight,Alternaria solani,Dark concentric spots on leaves,Moderate,Chlorothalonil,Spray at early stage
Tomato,Early Blight,Alternaria solani,Dark concentric spots on leaves,Mild,Chlorothalonil,Use preventive spray
Tomato,Early Blight,Alternaria solani,Dark concentric spots on leaves,Severe,Chlorothalonil,Use preventive spray
Tomato,Early Blight,Alternaria solani,Dark concentric spots on leaves,Mild,Chlorothalonil,Apply during high humidity
